filename	plate.pos	arb.sort	sampID	sample.type	timepoint	date	time	extractplate	rnaprepplate
A2449446903_n01_LICRNA02_A07.fastq.gz	A07	49	LIC241	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B07.fastq.gz	B07	50	LIC242	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C07.fastq.gz	C07	51	LIC243	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D07.fastq.gz	D07	52	LIC244	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E07.fastq.gz	E07	53	LIC245	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F07.fastq.gz	F07	54	LIC246	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G07.fastq.gz	G07	55	LIC247	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H07.fastq.gz	H07	56	LIC248	plant	t21	2/20/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A08.fastq.gz	A08	57	LIC253	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B08.fastq.gz	B08	58	LIC254	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C08.fastq.gz	C08	59	LIC255	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D08.fastq.gz	D08	60	LIC256	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E08.fastq.gz	E08	61	LIC257	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F08.fastq.gz	F08	62	LIC258	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G08.fastq.gz	G08	63	LIC259	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H08.fastq.gz	H08	64	LIC260	plant	t22	2/23/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A09.fastq.gz	A09	65	LIC265	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B09.fastq.gz	B09	66	LIC266	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C09.fastq.gz	C09	67	LIC267	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D09.fastq.gz	D09	68	LIC268	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E09.fastq.gz	E09	69	LIC269	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F09.fastq.gz	F09	70	LIC270	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G09.fastq.gz	G09	71	LIC271	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H09.fastq.gz	H09	72	LIC272	plant	t23	2/26/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A10.fastq.gz	A10	73	LIC289	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_B10.fastq.gz	B10	74	LIC290	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_C10.fastq.gz	C10	75	LIC291	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_D10.fastq.gz	D10	76	LIC292	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_E10.fastq.gz	E10	77	LIC293	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_F10.fastq.gz	F10	78	LIC294	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_G10.fastq.gz	G10	79	LIC295	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_H10.fastq.gz	H10	80	LIC296	plant	t25	3/5/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_A11.fastq.gz	A11	81	LIC301	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_B11.fastq.gz	B11	82	LIC302	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_C11.fastq.gz	C11	83	LIC303	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_D11.fastq.gz	D11	84	LIC304	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_E11.fastq.gz	E11	85	LIC305	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_F11.fastq.gz	F11	86	LIC306	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_G11.fastq.gz	G11	87	LIC307	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_H11.fastq.gz	H11	88	LIC308	plant	t26	3/8/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_A12.fastq.gz	A12	89	LIC313	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_B12.fastq.gz	B12	90	LIC314	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_C12.fastq.gz	C12	91	LIC315	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_D12.fastq.gz	D12	92	LIC316	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_E12.fastq.gz	E12	93	LIC317	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_F12.fastq.gz	F12	94	LIC318	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_G12.fastq.gz	G12	95	LIC319	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
A2449446903_n01_LICRNA02_H12.fastq.gz	H12	96	LIC320	plant	t27	3/12/24	8:00	LIC_04	LICRNA_02
B250508004_n01_LICRNA03_A01.fastq.gz	A01	1	LIC325	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_B01.fastq.gz	B01	2	LIC326	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_C01.fastq.gz	C01	3	LIC327	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_D01.fastq.gz	D01	4	LIC328	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_E01.fastq.gz	E01	5	LIC329	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_F01.fastq.gz	F01	6	LIC330	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_G01.fastq.gz	G01	7	LIC331	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_H01.fastq.gz	H01	8	LIC332	plant	t28	3/14/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_A02.fastq.gz	A02	9	LIC337	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_B02.fastq.gz	B02	10	LIC338	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_C02.fastq.gz	C02	11	LIC339	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_D02.fastq.gz	D02	12	LIC340	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_E02.fastq.gz	E02	13	LIC341	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_F02.fastq.gz	F02	14	LIC342	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_G02.fastq.gz	G02	15	LIC343	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_H02.fastq.gz	H02	16	LIC344	plant	t24	3/1/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_A03.fastq.gz	A03	17	LIC349	plant	t16	1/30/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_B03.fastq.gz	B03	18	LIC350	plant	t16	1/30/24	8:00	LIC_04	LICRNA_03
B250508004_n01_LICRNA03_C03.fastq.gz	C03	19	LIC351	plant	t16	1/30/24	8:00	LIC_04	LICRNA_03
